#ZVView-data-copy:  14-May-2017 02:34:51
#=======================================
#
#name:   22-TI-46(N,P)21-SC-46,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  119
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         3.668        0.082      0.01353       0.0028  # 1975,D.L.Smith+          ## 10238023
         3.769        0.082      0.01614     0.001262  # 1975,D.L.Smith+          ## 10238023
         3.983        0.077      0.02075     0.001245  # 1975,D.L.Smith+          ## 10238023
           4.1          0.1        0.046        0.008  # 1971,S.K.Ghorai+         ## 10180002
         4.196        0.078      0.03725     0.003281  # 1975,D.L.Smith+          ## 10238024
         4.336        0.078      0.03772     0.002536  # 1975,D.L.Smith+          ## 10238024
         4.398        0.078      0.03927     0.002534  # 1975,D.L.Smith+          ## 10238024
           4.5         0.05        0.044        0.007  # 1989,Lu Han-Lin+         ## 30523004
         4.537        0.079      0.05996     0.003688  # 1975,D.L.Smith+          ## 10238024
           4.6        0.078      0.04735     0.003682  # 1975,D.L.Smith+          ## 10238024
         4.721        0.086       0.0576     0.003242  # 1975,D.L.Smith+          ## 10238024
         4.735        0.079      0.06691     0.003671  # 1975,D.L.Smith+          ## 10238024
         4.799        0.079      0.05864      0.00377  # 1975,D.L.Smith+          ## 10238024
          4.91            0        0.087        0.013  # 1971,Y.Lukic+            ## 10205004
         4.937         0.08      0.07566     0.005218  # 1975,D.L.Smith+          ## 10238024
         4.999         0.08      0.07586     0.004689  # 1975,D.L.Smith+          ## 10238024
             5          0.1        0.106         0.02  # 1971,S.K.Ghorai+         ## 10180002
             5         0.05        0.068        0.011  # 1989,Lu Han-Lin+         ## 30523004
         5.138         0.08      0.08174     0.006167  # 1975,D.L.Smith+          ## 10238024
         5.198        0.081      0.07718       0.0047  # 1975,D.L.Smith+          ## 10238024
         5.234       0.0964       0.0772     0.001273  # 1975,D.L.Smith+          ## 10238024
         5.238        0.081      0.08867     0.005424  # 1975,D.L.Smith+          ## 10238024
          5.37         0.12        0.087       0.0089  # 1990,N.I.Molla+          ## 22443002
         5.407        0.166      0.09024     0.006588  # 1975,D.L.Smith+          ## 10238025
         5.438        0.081      0.09378     0.005715  # 1975,D.L.Smith+          ## 10238024
          5.48            0        0.119        0.019  # 1971,Y.Lukic+            ## 10205002
          5.48            0        0.081        0.013  # 1971,Y.Lukic+            ## 10205004
         5.639        0.082      0.09869     0.006073  # 1975,D.L.Smith+          ## 10238024
         5.859        0.083       0.1008      0.01175  # 1975,D.L.Smith+          ## 10238024
         5.938        0.083       0.1227      0.01305  # 1975,D.L.Smith+          ## 10238024
         5.957        0.163       0.1305      0.01031  # 1975,D.L.Smith+          ## 10238025
          6.01            0        0.139        0.021  # 1971,Y.Lukic+            ## 10205003
          6.01            0        0.165        0.025  # 1971,Y.Lukic+            ## 10205004
           6.1          0.1        0.149        0.027  # 1971,S.K.Ghorai+         ## 10180002
          6.24            0        0.194        0.032  # 1971,Y.Lukic+            ## 10205002
          6.24            0        0.324        0.049  # 1971,Y.Lukic+            ## 10205004
          6.48        0.135       0.1576       0.0171  # 1990,N.I.Molla+          ## 22443002
          6.53            0        0.244        0.038  # 1971,Y.Lukic+            ## 10205002
          6.53            0        0.197        0.033  # 1971,Y.Lukic+            ## 10205003
         6.996        0.169       0.1723      0.01723  # 1975,D.L.Smith+          ## 10238025
          7.04            0        0.205        0.031  # 1971,Y.Lukic+            ## 10205003
          7.04            0        0.146        0.022  # 1971,Y.Lukic+            ## 10205004
         7.499        0.175       0.1842      0.01842  # 1975,D.L.Smith+          ## 10238025
          7.52        0.155       0.1976       0.0186  # 1990,N.I.Molla+          ## 22443002
         7.998        0.182       0.2115      0.01819  # 1975,D.L.Smith+          ## 10238025
         8.491        0.191       0.2269      0.02337  # 1975,D.L.Smith+          ## 10238025
           8.5        0.135        0.241        0.016  # 1989,Lu Han-Lin+         ## 30523004
           8.5        0.135        0.241        0.016  # 1985,Fan Peiguo+         ## 30733004
          8.53        0.155       0.2559       0.0261  # 1990,N.I.Molla+          ## 22443002
         8.983          0.2       0.2174       0.0263  # 1975,D.L.Smith+          ## 10238025
         9.467        0.209       0.2349      0.01691  # 1975,D.L.Smith+          ## 10238025
          9.49        0.195       0.2606       0.0333  # 1990,N.I.Molla+          ## 22443002
          9.95        0.219        0.233      0.02703  # 1975,D.L.Smith+          ## 10238025
